method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179901:S05:space_filling:13,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-bcf50174b61e44d25be4cb16,1,[],,0,1
Random,2,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-288612112438dda6d7f1f545,1,[],,1,1
Random,3,4179901:S06:space_filling:6,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-9c4b9f7a1834c245ee6b7fa8,1,[],,2,1
Random,4,4179901:S01:space_filling:13,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-ac330f3a5545cb3737152201,1,[],,3,1
Random,5,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-63076a04f75c8803637a2a4d,1,[],,4,1
Random,6,4179901:S01:anchor_like:0,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-d35bd48d8679b9e47d214189,1,[],,5,1
Random,7,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-af3637b3a0efd12ac7582db0,1,[],,6,1
Random,8,4179901:S02:space_filling:15,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-58b4489324525387d46ab398,1,[],,7,1
Random,9,4179901:S06:anchor_like:0,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-535512abb6fd9194f0db653b,1,[],,8,1
Random,10,4179901:S08:space_filling:14,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-f17725a3a6b1d93b91093ed1,1,[],,9,1
Random,11,4179901:S08:space_filling:7,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-535a4620b41b130158a7ed5c,1,[],,10,1
Random,12,4179901:S05:space_filling:5,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,True,False,True,new-d219a9492abe8aa3876ce6f4,1,[],,11,1
Random,13,4179901:S02:space_filling:4,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-080f7244a6c595a5de83876e,1,[],,12,1
Random,14,4179901:S08:anchor_like:0,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-4872b42c5b0ba6adacee96ff,1,[],,13,1
Random,15,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-3b8e5786453e59fa3acafdce,1,[],,14,1
Random,16,4179901:S01:space_filling:6,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-70554bf2271fa59d21af8575,1,[],,15,1
Random,17,4179901:S06:space_filling:4,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-36db820dca294862d4f9cfce,1,[],,16,1
Random,18,4179901:S01:anchor_like:1,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-50af7510ba84623f67feb237,1,[],,17,1
Random,19,4179901:S06:space_filling:11,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-4360f49e99b9481892d2b5e6,1,[],,18,1
Random,20,4179901:S01:space_filling:5,fbrt_cutin,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:2,regression,False,False,False,new-720943cc28216ed79ef72303,1,[],,19,1
