method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179901:S05:anchor_like:3,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-9551311f923f95360e5b9cd4,1,[],,0,1
FailureDistance-v2,2,4179901:S05:space_filling:6,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-059aeb2c9f5b1fef528ea35e,1,[],,1,1
FailureDistance-v2,3,4179901:S05:space_filling:4,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-3aa5b3c698d00e1ca6c1fed9,1,[],,2,1
FailureDistance-v2,4,4179901:S05:anchor_like:1,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-0b823c70c752b712d609d8d1,1,[],,3,1
FailureDistance-v2,5,4179901:S05:space_filling:5,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-811293bd8a4b6ccc09a2c85e,1,[],,4,1
FailureDistance-v2,6,4179901:S05:space_filling:15,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-6bbf7868fb3bd70cef64ce99,1,[],,5,1
FailureDistance-v2,7,4179901:S05:space_filling:8,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-fe1ab6b4dd31fcc49ff1a311,1,[],,6,1
FailureDistance-v2,8,4179901:S05:space_filling:11,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-a2fd1cee903448a13a6dbf22,1,[],,7,1
FailureDistance-v2,9,4179901:S05:anchor_like:0,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-69b5efcd46dae110b3f3f1fc,1,[],,8,1
FailureDistance-v2,10,4179901:S08:anchor_like:1,fbrt_cutin_then_brake,global_art_maximin,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-8971f6537153a3aa60ad43f8,1,[],,9,1
FailureDistance-v2,11,4179901:S05:anchor_like:2,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-0a488097d89f0f196cb425c7,1,[],,10,1
FailureDistance-v2,12,4179901:S05:space_filling:9,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-22049c50d91f77854e61be63,1,[],,11,1
FailureDistance-v2,13,4179901:S05:space_filling:13,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-f3d4693f9bc6f791a4ce1c0f,1,[],,12,1
FailureDistance-v2,14,4179901:S05:space_filling:7,fbrt_lane_change_rear,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-6eacaa309239d88f62ef267e,1,[],,13,1
FailureDistance-v2,15,4179901:S08:space_filling:9,fbrt_cutin_then_brake,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-c881f1a5338bcfba8eb42917,1,[],,14,1
FailureDistance-v2,16,4179901:S08:space_filling:10,fbrt_cutin_then_brake,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-dce1fa34c88e2e710a79db4b,1,[],,15,1
FailureDistance-v2,17,4179901:S08:space_filling:7,fbrt_cutin_then_brake,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-5dc9fa5929a8274702b0c397,1,[],,16,1
FailureDistance-v2,18,4179901:S01:space_filling:14,fbrt_cutin,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-7b24a497e4c81c9cbd73637a,1,[],,17,1
FailureDistance-v2,19,4179901:S01:space_filling:10,fbrt_cutin,nearest_observed_failure,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-85244d54fa26548860c11537,1,[],,18,1
FailureDistance-v2,20,4179901:S06:anchor_like:3,fbrt_moving_lead,global_art_maximin,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:FailureDistance-v2:0,regression,False,False,False,new-020ad18db1e568c8b9ee64d3,1,[],,19,1
