method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179901:S05:space_filling:6,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-059aeb2c9f5b1fef528ea35e,1,[],,0,1
Random,2,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-7b24a497e4c81c9cbd73637a,1,[],,1,1
Random,3,4179901:S01:anchor_like:3,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-8a5537b103b0ce6a097a246f,1,[],,2,1
Random,4,4179901:S05:space_filling:13,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-f3d4693f9bc6f791a4ce1c0f,1,[],,3,1
Random,5,4179901:S01:space_filling:4,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-d92fd67597d79a49020a1e92,1,[],,4,1
Random,6,4179901:S08:space_filling:8,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-26deab57f0e65499a054ad8f,1,[],,5,1
Random,7,4179901:S06:anchor_like:3,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-020ad18db1e568c8b9ee64d3,1,[],,6,1
Random,8,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-17b21f25fcea58bff60df14b,1,[],,7,1
Random,9,4179901:S01:space_filling:12,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-763c3be8f8c26fdf7b1e099a,1,[],,8,1
Random,10,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-9e05020873512f496a52d973,1,[],,9,1
Random,11,4179901:S08:space_filling:11,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-558c80ce760f525e0ef93942,1,[],,10,1
Random,12,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-c07a79dfd5a7b3ab0b9e5e75,1,[],,11,1
Random,13,4179901:S05:anchor_like:1,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-0b823c70c752b712d609d8d1,1,[],,12,1
Random,14,4179901:S08:space_filling:4,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-2894ef966aed1dc67339ebc5,1,[],,13,1
Random,15,4179901:S05:space_filling:4,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-3aa5b3c698d00e1ca6c1fed9,1,[],,14,1
Random,16,4179901:S06:space_filling:5,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-48cac9d2b1a2c604ddd3a3a8,1,[],,15,1
Random,17,4179901:S05:space_filling:9,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-22049c50d91f77854e61be63,1,[],,16,1
Random,18,4179901:S05:anchor_like:3,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-9551311f923f95360e5b9cd4,1,[],,17,1
Random,19,4179901:S08:space_filling:15,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-fd995a249d419e24cef09c18,1,[],,18,1
Random,20,4179901:S06:space_filling:4,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:2,regression,False,False,False,new-60871f06d94609b1c153d765,1,[],,19,1
