method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,task_id,repeat
Random,1,4179901:S02:space_filling:12,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-6bd6ab7132d216f74ec29614,1,[],,0,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,2,4179901:S02:space_filling:8,fbrt_cutout_static,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-39762bdca74431e61b71653c,1,[],,1,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,3,4179901:S05:space_filling:4,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,True,False,True,new-f50a868a6984e064b5213a43,1,[],,2,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,4,4179901:S08:space_filling:6,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-be505dcf4f612394a5820fe8,1,[],,3,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,5,4179901:S05:space_filling:11,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,True,False,True,new-a0c970db6dfd1ac82300fac0,1,[],,4,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,6,4179901:S06:space_filling:6,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-9c4b9f7a1834c245ee6b7fa8,1,[],,5,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,7,4179901:S08:anchor_like:1,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-221274f749d6ebca1cbe0530,1,[],,6,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,8,4179901:S06:anchor_like:2,fbrt_moving_lead,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-c16b332f36b849770047762e,1,[],,7,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,9,4179901:S08:anchor_like:3,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,False,False,False,new-6dc437fe2d83f63b27085c5b,1,[],,8,1,compact_regression_mobil_ref_to_rear_guard_off,0
Random,10,4179901:S05:space_filling:5,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:Random:0,regression,True,False,True,new-d219a9492abe8aa3876ce6f4,1,[],,9,1,compact_regression_mobil_ref_to_rear_guard_off,0
