method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179801:fbrt_stop_hold_go:initial:24,fbrt_stop_hold_go,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-2c7f39327938c355df6584f2,0,[],,0,1
FailureDistance-v2,2,4179801:fbrt_cutout_static:initial:8,fbrt_cutout_static,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-0532f402160570e695b3ed26,0,[],,1,1
FailureDistance-v2,3,4179801:fbrt_cutin:initial:1,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-06b7574f0505e7105218d90f,0,[],,2,1
FailureDistance-v2,4,4179801:fbrt_stop_hold_go:probe:3,fbrt_stop_hold_go,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-072cf53e7f1893d460e1dd89,0,[],,3,1
FailureDistance-v2,5,4179801:fbrt_cutin:core_boundary:2,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,True,False,True,legacy-abcbf423287eaf6c358dfea4,0,[],,4,1
FailureDistance-v2,6,4179801:fbrt_cutin:initial:13,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-bbb41f188fac65970b0ef185,0,[],,5,1
FailureDistance-v2,7,4179801:fbrt_cutin:initial:25,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-151b34a3cfcb8ea63a06b9e6,0,[],,6,1
FailureDistance-v2,8,4179801:fbrt_cutin:initial:30,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-c75aad846f9b0f2e41c4f5ab,0,[],,7,1
FailureDistance-v2,9,4179801:fbrt_cutin:initial:18,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-d83b04e75537ed2c7a886197,0,[],,8,1
FailureDistance-v2,10,4179801:fbrt_lead_emergency_brake:wide_initial:25,fbrt_lead_emergency_brake,global_art_maximin,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-de4bb423ae38ad3f568564cb,0,[],,9,1
FailureDistance-v2,11,4179801:fbrt_cutin:initial:6,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-e67bb4c88038397afd893da4,0,[],,10,1
FailureDistance-v2,12,4179801:fbrt_cutin:initial:19,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-c112f429842e434798765ea2,0,[],,11,1
FailureDistance-v2,13,4179801:fbrt_cutin:probe:2,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,True,False,True,legacy-17311906a29cf66b7c4edd6c,0,[],,12,1
FailureDistance-v2,14,4179801:fbrt_cutin:initial:26,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,True,False,True,legacy-ae535c64b202ffd1dc94e435,0,[],,13,1
FailureDistance-v2,15,4179801:fbrt_cutin:initial:2,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-44026825e072f2f56bddb519,0,[],,14,1
FailureDistance-v2,16,4179801:fbrt_cutin:initial:22,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-90537192f3ae1cfcfe712893,0,[],,15,1
FailureDistance-v2,17,4179801:fbrt_cutin:initial:14,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-7a7cd2f2ace6e64871f2d365,0,[],,16,1
FailureDistance-v2,18,4179801:fbrt_cutin:initial:12,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-76690971b6090a0eeb697f2c,0,[],,17,1
FailureDistance-v2,19,4179801:fbrt_cutin:initial:20,fbrt_cutin,nearest_observed_failure,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-ef7092a5a07fb4af5d4d171d,0,[],,18,1
FailureDistance-v2,20,4179801:fbrt_stop_hold_go:initial:9,fbrt_stop_hold_go,global_art_maximin,merge_blind06,legacy_regression_seed4179801_merge_blind06:FailureDistance-v2:0,regression,False,False,False,legacy-f94f4fe11e04b36cac63c6d6,0,[],,19,1
