method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-Memory,1,4179801:fbrt_cutout_static:initial:6,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-2ef5de9aa6f0644fe378a3ee,0,[],pat-ab1c7f82324557bb,0,1
FBRT-Memory,2,4179801:fbrt_cutout_static:initial:30,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-80ccaa2d837e2d73c60d7e6a,0,"[""pat-ab1c7f82324557bb""]",pat-3694d52c85b93db8,1,1
FBRT-Memory,3,4179801:fbrt_cutout_static:initial:10,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-d083451391eaf302c4f08b0c,0,"[""pat-ab1c7f82324557bb""]",pat-b6275ace39874b2d,2,1
FBRT-Memory,4,4179801:fbrt_cutout_static:initial:22,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-2d1ae168310f8d155dd8a46a,0,"[""pat-ab1c7f82324557bb"", ""pat-b6275ace39874b2d""]",pat-1c752c8affd21e83,3,1
FBRT-Memory,5,4179801:fbrt_cutout_static:initial:18,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-3a4ab8404a2c5cdcb7cceff0,0,"[""pat-b6275ace39874b2d""]",pat-0ac25cc0dbaf719d,4,1
FBRT-Memory,6,4179801:fbrt_cutout_static:initial:14,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-b774d148fc0a76ca2a87ae3e,0,"[""pat-b6275ace39874b2d""]",pat-1f6c95c017dd2873,5,1
FBRT-Memory,7,4179801:fbrt_cutout_static:initial:2,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-0fff3bba9433ba3f18664a40,0,"[""pat-b6275ace39874b2d"", ""pat-1f6c95c017dd2873""]",pat-f6f8c0efd5a86c0e,6,1
FBRT-Memory,8,4179801:fbrt_cutout_static:initial:9,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-6c0478f68dea37f99ad2fff8,0,"[""pat-1f6c95c017dd2873""]",pat-57e6f07fb31f286e,7,1
FBRT-Memory,9,4179801:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-ecf2ae5ea73e83091604f31d,0,"[""pat-1f6c95c017dd2873"", ""pat-f6f8c0efd5a86c0e""]",pat-0fbfaceeb1621d68,8,1
FBRT-Memory,10,4179801:fbrt_cutin:initial:27,fbrt_cutin,global_art_maximin,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,False,False,False,legacy-2ebc1612308eed953218a713,0,[],,9,1
FBRT-Memory,11,4179801:fbrt_cutout_static:initial:0,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-cbc3049a4a44bd93a90b0133,0,"[""pat-b6275ace39874b2d"", ""pat-f6f8c0efd5a86c0e""]",pat-909f60c2b11fc32f,10,1
FBRT-Memory,12,4179801:fbrt_cutout_static:initial:26,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-ba4cdd0b812a0cb5a3de697a,0,"[""pat-b6275ace39874b2d"", ""pat-1f6c95c017dd2873"", ""pat-f6f8c0efd5a86c0e""]",pat-6d15fe46aced158a,11,1
FBRT-Memory,13,4179801:fbrt_cutout_static:initial:16,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-a758b9a475e04bee3ce0167f,0,"[""pat-b6275ace39874b2d"", ""pat-1f6c95c017dd2873"", ""pat-f6f8c0efd5a86c0e""]",pat-904a2b4b9b2cf207,12,1
FBRT-Memory,14,4179801:fbrt_cutout_static:initial:8,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-9f30e4dc9055f1f717490492,0,"[""pat-b6275ace39874b2d"", ""pat-f6f8c0efd5a86c0e""]",pat-31f6adb92db72f67,13,1
FBRT-Memory,15,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,legacy-e5ac27d6b9e10d5aee4757e3,0,"[""pat-f6f8c0efd5a86c0e""]",pat-0cfd4aacefd425c3,14,1
