method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-Memory,1,4179802:fbrt_stop_hold_go:initial:27,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-53815492f5e888fb0a83182c,0,[],,0,1
FBRT-Memory,2,4179802:fbrt_lead_emergency_brake:wide_initial:5,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-366dd6e0e20773ccfe2772ed,0,[],,1,1
FBRT-Memory,3,4179802:fbrt_stop_hold_go:initial:6,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-dfd20952b84b9b564b525149,0,[],,2,1
FBRT-Memory,4,4179802:fbrt_cutin:initial:14,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-001b0226873bdc8360beac3f,0,[],,3,1
FBRT-Memory,5,4179802:fbrt_lead_emergency_brake:core_boundary:2,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-7c77d13ab25ef65977686b90,0,[],,4,1
FBRT-Memory,6,4179802:fbrt_cutout_static:initial:13,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-257e4466dbfb3b0c9838867c,0,[],,5,1
FBRT-Memory,7,4179802:fbrt_cutout_static:probe:1,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-1ae0d53e6ee8f609c85d9bb9,0,[],,6,1
FBRT-Memory,8,4179802:fbrt_stop_hold_go:initial:1,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-6c764d34d75c5f318080dc52,0,[],,7,1
FBRT-Memory,9,4179802:fbrt_cutin:initial:17,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-f87012a2999de3415b1cfb03,0,[],,8,1
FBRT-Memory,10,4179802:fbrt_cutout_static:initial:8,fbrt_cutout_static,global_art_maximin,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,legacy-bb94f59ff566279551826724,0,[],,9,1
