method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
HistoryRank-UCB-v2,1,4179802:fbrt_cutout_static:core_boundary:0,fbrt_cutout_static,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-d5a460cea7f8e01c9508c6b6,0,[],,0,1
HistoryRank-UCB-v2,2,4179802:fbrt_cutin:core_boundary:0,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-c42155ef0ecb067dfd7d30af,0,[],,1,1
HistoryRank-UCB-v2,3,4179802:fbrt_lead_emergency_brake:wide_initial:5,fbrt_lead_emergency_brake,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,False,False,False,legacy-366dd6e0e20773ccfe2772ed,0,[],,2,1
HistoryRank-UCB-v2,4,4179802:fbrt_stop_hold_go:initial:18,fbrt_stop_hold_go,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,False,False,False,legacy-6d022adab5a53ec2a413f3fb,0,[],,3,1
HistoryRank-UCB-v2,5,4179802:fbrt_cutout_static:initial:14,fbrt_cutout_static,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-128f0829ef22631aa0eb2c52,0,[],,4,1
HistoryRank-UCB-v2,6,4179802:fbrt_cutin:initial:28,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-175900f5dac812d165c15c1f,0,[],,5,1
HistoryRank-UCB-v2,7,4179802:fbrt_cutin:initial:3,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-8a96730a91cecff21baa5b0c,0,[],,6,1
HistoryRank-UCB-v2,8,4179802:fbrt_cutout_static:initial:4,fbrt_cutout_static,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-b9a535db5930368cc8fca33a,0,[],,7,1
HistoryRank-UCB-v2,9,4179802:fbrt_cutin:probe:2,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-eb33117f5acde15d5b33f3ca,0,[],,8,1
HistoryRank-UCB-v2,10,4179802:fbrt_cutout_static:initial:8,fbrt_cutout_static,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,False,False,False,legacy-bb94f59ff566279551826724,0,[],,9,1
HistoryRank-UCB-v2,11,4179802:fbrt_lead_emergency_brake:wide_initial:30,fbrt_lead_emergency_brake,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,False,False,False,legacy-027651d5d0c615e1996fb30b,0,[],,10,1
HistoryRank-UCB-v2,12,4179802:fbrt_stop_hold_go:initial:10,fbrt_stop_hold_go,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,False,False,False,legacy-b14d9a0bb8abb978d49b070e,0,[],,11,1
HistoryRank-UCB-v2,13,4179802:fbrt_cutin:core_boundary:3,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-d2946c7e26be23ebc3a7638f,0,[],,12,1
HistoryRank-UCB-v2,14,4179802:fbrt_cutin:probe:3,fbrt_cutin,history_risk_percentile_ucb,merge_blind06,legacy_regression_seed4179802_merge_blind06:HistoryRank-UCB-v2:0,regression,True,False,True,legacy-6e7635e3fd65274547ed4f5f,0,[],,13,1
