method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179802:fbrt_stop_hold_go:probe:1,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-296ce98ea47a746f5bb37cd5,0,[],,0,1
Random,2,4179802:fbrt_stop_hold_go:initial:28,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-35b88009ea83e0ea03e0275f,0,[],,1,1
Random,3,4179802:fbrt_stop_hold_go:initial:0,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-9ca794a65e7bcd0b96cba70b,0,[],,2,1
Random,4,4179802:fbrt_stop_hold_go:initial:29,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-6c5e9275c529bcb992c7f1ba,0,[],,3,1
Random,5,4179802:fbrt_stop_hold_go:initial:3,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-135a88b36ee7e07018d173de,0,[],,4,1
Random,6,4179802:fbrt_cutout_static:initial:29,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-ccdc75fe1cb9ad66c1134b32,0,[],,5,1
Random,7,4179802:fbrt_cutin:probe:2,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,True,False,True,legacy-eb33117f5acde15d5b33f3ca,0,[],,6,1
Random,8,4179802:fbrt_stop_hold_go:initial:2,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-27ebf5075a3a43bf39c656d1,0,[],,7,1
Random,9,4179802:fbrt_cutout_static:initial:11,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-b8afcddaf02a6f575f8ba2e7,0,[],,8,1
Random,10,4179802:fbrt_cutin:initial:24,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-d682b6a77ca75c0c058979d3,0,[],,9,1
Random,11,4179802:fbrt_cutout_static:initial:19,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-bd52c18b299fe6844342e69f,0,[],,10,1
Random,12,4179802:fbrt_cutin:initial:10,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-16fc02df9ced508e2f3c2cb4,0,[],,11,1
Random,13,4179802:fbrt_stop_hold_go:initial:12,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-ab828965faee01f9770dae6e,0,[],,12,1
Random,14,4179802:fbrt_cutout_static:initial:8,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-bb94f59ff566279551826724,0,[],,13,1
Random,15,4179802:fbrt_cutin:initial:5,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-dc36d60e3b4b44ef84099e1f,0,[],,14,1
Random,16,4179802:fbrt_cutout_static:initial:27,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-c473ac91c2ffa567b94f6c90,0,[],,15,1
Random,17,4179802:fbrt_stop_hold_go:initial:24,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-ff44519a79525df5b645cc33,0,[],,16,1
Random,18,4179802:fbrt_stop_hold_go:initial:20,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-37020614d96aba88264b4a11,0,[],,17,1
Random,19,4179802:fbrt_stop_hold_go:core_extra:1,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-d6bd81b27054664517c13b16,0,[],,18,1
Random,20,4179802:fbrt_cutin:initial:14,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179802_merge_blind06:Random:2,regression,False,False,False,legacy-001b0226873bdc8360beac3f,0,[],,19,1
