method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-NoMemory,1,4179802:fbrt_cutout_static:initial:1,fbrt_cutout_static,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-bf7e385eddcc1f394332363b,0,[],,0,0
FBRT-NoMemory,2,4179802:fbrt_stop_hold_go:probe:2,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-dcaeaf90d8c0ef397e9a37a9,0,[],,1,0
FBRT-NoMemory,3,4179802:fbrt_cutin:core_boundary:3,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-2e1d16447e430a00a0c1c0de,0,[],pat-468027c88ddad92a,2,0
FBRT-NoMemory,4,4179802:fbrt_cutin:initial:27,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-6cc6e372ba1fb7bfb57f4a6a,0,[],,3,0
FBRT-NoMemory,5,4179802:fbrt_cutin:initial:28,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-e86eaf7d008ef3e596ea1025,0,[],pat-8fb7264ebfae6e4f,4,0
FBRT-NoMemory,6,4179802:fbrt_cutin:probe:2,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-26057954784c314dc45a2943,0,[],,5,0
FBRT-NoMemory,7,4179802:fbrt_cutin:initial:20,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-53630c487c96e1e8ec6a2084,0,[],,6,0
FBRT-NoMemory,8,4179802:fbrt_lead_emergency_brake:wide_initial:6,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-b87ea37f3cdd3f8e2e39fb2f,0,[],,7,0
FBRT-NoMemory,9,4179802:fbrt_cutin:initial:3,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-d823aeb84bf0a8e70adccd95,0,[],pat-5a5324ea147796c5,8,0
FBRT-NoMemory,10,4179802:fbrt_stop_hold_go:initial:6,fbrt_stop_hold_go,global_art_maximin,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-fd07840d50b1319cf6dbd1fc,0,[],,9,0
FBRT-NoMemory,11,4179802:fbrt_cutin:probe:3,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-25c08efd45862de3780758d7,0,[],pat-045ac5c7d49eca38,10,0
FBRT-NoMemory,12,4179802:fbrt_cutin:initial:11,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-f84f2f898cc42a34c61bdf7f,0,[],,11,0
FBRT-NoMemory,13,4179802:fbrt_cutin:core_boundary:0,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179802_merge_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-8acc05bd3e491f1205e5560c,0,[],pat-a8cc8b97986545b9,12,0
