method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-NoMemory,1,4179802:fbrt_cutout_static:initial:14,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-7966bbf9620bc9227b26140c,0,[],pat-1f7aaff7725d1cd1,0,0
FBRT-NoMemory,2,4179802:fbrt_cutout_static:initial:1,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-04b1262edf63f2254e628a8c,0,[],pat-5d78c23cbf61fc20,1,0
FBRT-NoMemory,3,4179802:fbrt_cutout_static:initial:4,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-a1b1453757c46758b27d2fa0,0,[],pat-f36bc0a1fd2641af,2,0
FBRT-NoMemory,4,4179802:fbrt_cutout_static:initial:11,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-88de1d3d050d5cc35102375a,0,[],pat-0e6c2998dce1a7f6,3,0
FBRT-NoMemory,5,4179802:fbrt_cutout_static:core_boundary:0,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-53f3fc8bda752b43e32bb91a,0,[],pat-ed5e33d8282ea1d2,4,0
FBRT-NoMemory,6,4179802:fbrt_cutout_static:initial:31,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-9fda0bed5c1a7a2aa2bb6844,0,[],pat-86ef2295baa52805,5,0
FBRT-NoMemory,7,4179802:fbrt_cutout_static:initial:16,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-712af544baddb071165ddd04,0,[],pat-ce0e362c513001af,6,0
FBRT-NoMemory,8,4179802:fbrt_cutout_static:initial:25,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-392e41c58856ed039c4c47dc,0,[],pat-acd300a8ca605b61,7,0
FBRT-NoMemory,9,4179802:fbrt_cutout_static:initial:19,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-ef3200aeddaf7b0540ab6ec5,0,[],pat-cff155d3a7d7b380,8,0
FBRT-NoMemory,10,4179802:fbrt_cutin:initial:4,fbrt_cutin,global_art_maximin,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,False,False,False,legacy-3adf1d34db8d41f57cc5955a,0,[],,9,0
FBRT-NoMemory,11,4179802:fbrt_cutout_static:initial:7,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-fbab61e33fc9ec26fa99061b,0,[],pat-fe96dd8a8c40f580,10,0
FBRT-NoMemory,12,4179802:fbrt_cutout_static:initial:8,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-573c4b18cc9e5b39ddedd6bf,0,[],pat-4b205994b1a94fc4,11,0
FBRT-NoMemory,13,4179802:fbrt_cutout_static:initial:9,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-21629c769a9abac5e49abcfe,0,[],pat-1d12387249838d62,12,0
FBRT-NoMemory,14,4179802:fbrt_cutout_static:initial:17,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-e3b1c9f837ee0bdf0b0066a8,0,[],pat-e2da3f0d36b6af67,13,0
FBRT-NoMemory,15,4179802:fbrt_cutout_static:initial:3,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-cb877f07e714b86939768c6d,0,[],pat-17fe328af7a4ef22,14,0
FBRT-NoMemory,16,4179802:fbrt_cutout_static:core_boundary:2,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-74fa35b52661fd4669c69f67,0,[],pat-abe581d8ed6e61d7,15,0
FBRT-NoMemory,17,4179802:fbrt_cutout_static:initial:23,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-1528391d35acacb4cf2ffd29,0,[],pat-f9b48de0976a0355,16,0
FBRT-NoMemory,18,4179802:fbrt_cutout_static:initial:15,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-29e108d2a96fb79044c04243,0,[],pat-ff4376f83c1f6845,17,0
FBRT-NoMemory,19,4179802:fbrt_cutout_static:initial:27,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-2a2f4d6bd2b4787e582ed1cd,0,[],pat-e7c73ac44cac1409,18,0
FBRT-NoMemory,20,4179802:fbrt_stop_hold_go:initial:14,fbrt_stop_hold_go,global_art_maximin,slow_front_brake2,legacy_regression_seed4179802_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,legacy-9ca59356f68258b00b0067bc,0,[],pat-8e029b346ca496e5,19,0
