method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-NoMemory,1,4179803:fbrt_cutin:initial:25,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-c84d383b5a13a74c90c6a16b,0,[],,0,0
FBRT-NoMemory,2,4179803:fbrt_lead_emergency_brake:wide_initial:22,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-0a5d11e1a3fe1b1de7b87daf,0,[],,1,0
FBRT-NoMemory,3,4179803:fbrt_cutout_static:probe:3,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-040729ebbcfd0089e2e4395d,0,[],,2,0
FBRT-NoMemory,4,4179803:fbrt_cutout_static:initial:15,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-f0609a4f20b8d638e8cf542d,0,[],,3,0
FBRT-NoMemory,5,4179803:fbrt_stop_hold_go:initial:29,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-a55b70d679cf04a7a2a43b0e,0,[],,4,0
FBRT-NoMemory,6,4179803:fbrt_cutin:initial:16,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,True,False,True,legacy-43daa16d6fa0d9d61bd5c153,0,[],pat-ee3d7143a487b1e9,5,0
FBRT-NoMemory,7,4179803:fbrt_cutin:initial:8,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-9e87eb5792a607f4b6df1ce0,0,[],,6,0
FBRT-NoMemory,8,4179803:fbrt_cutin:initial:27,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-3a71640ad7607ce60d7d3cd6,0,[],,7,0
FBRT-NoMemory,9,4179803:fbrt_stop_hold_go:probe:0,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-62671c6020b475e95c77a1ca,0,[],,8,0
FBRT-NoMemory,10,4179803:fbrt_stop_hold_go:initial:8,fbrt_stop_hold_go,global_art_maximin,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-098a769b28933b7c4eaf16e4,0,[],,9,0
FBRT-NoMemory,11,4179803:fbrt_cutin:initial:14,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-1b2bda82c4b34c79002e9053,0,[],,10,0
FBRT-NoMemory,12,4179803:fbrt_lead_emergency_brake:wide_initial:1,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-7e5265db52e33a7394c010df,0,[],,11,0
FBRT-NoMemory,13,4179803:fbrt_stop_hold_go:initial:27,fbrt_stop_hold_go,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-f4df7645b634399156ab7f25,0,[],,12,0
FBRT-NoMemory,14,4179803:fbrt_cutin:initial:24,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-a71d5acbcc8c9cc471f35274,0,[],,13,0
FBRT-NoMemory,15,4179803:fbrt_cutout_static:initial:8,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,True,False,True,legacy-4eb82daef1aa5dd4e6b30201,0,[],pat-98c798082a620e4b,14,0
FBRT-NoMemory,16,4179803:fbrt_cutout_static:initial:16,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-25b0782f9a01e9a0b75f5ec0,0,[],,15,0
FBRT-NoMemory,17,4179803:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,True,False,True,legacy-322d1519c284d4242e751e12,0,[],pat-13631885dac6ee7b,16,0
FBRT-NoMemory,18,4179803:fbrt_cutout_static:initial:4,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,False,False,False,legacy-0c5f88fe1a81a7168c1319ec,0,[],,17,0
FBRT-NoMemory,19,4179803:fbrt_cutout_static:core_boundary:2,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179803_merge_blind06:FBRT-NoMemory:0,regression,True,False,True,legacy-a7d9cf23e804999fdfc6f4d3,0,[],pat-7555e24239a0e149,18,0
