method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179803:fbrt_stop_hold_go:initial:22,fbrt_stop_hold_go,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-161a93a63178681a689452da,0,[],,0,1
FailureDistance-v2,2,4179803:fbrt_lead_emergency_brake:core_boundary:3,fbrt_lead_emergency_brake,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-b210ba4ac835d28290e375e6,0,[],,1,1
FailureDistance-v2,3,4179803:fbrt_cutout_static:initial:16,fbrt_cutout_static,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-426937777d900a07a3b1213a,0,[],,2,1
FailureDistance-v2,4,4179803:fbrt_stop_hold_go:initial:16,fbrt_stop_hold_go,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-bb948502d270a4667a880eb1,0,[],,3,1
FailureDistance-v2,5,4179803:fbrt_cutin:initial:13,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-e28523e50e0182a089364ea9,0,[],,4,1
FailureDistance-v2,6,4179803:fbrt_cutout_static:initial:29,fbrt_cutout_static,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-6874d6264b7dea0b1470eea9,0,[],,5,1
FailureDistance-v2,7,4179803:fbrt_cutout_static:initial:27,fbrt_cutout_static,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-b6adea4fbc38b54b10a39a5a,0,[],,6,1
FailureDistance-v2,8,4179803:fbrt_cutin:core_boundary:0,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-99b2b2b1b22e17ccac33511e,0,[],,7,1
FailureDistance-v2,9,4179803:fbrt_cutin:probe:2,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-96072e1b85d15d312f2c22b6,0,[],,8,1
FailureDistance-v2,10,4179803:fbrt_cutin:initial:16,fbrt_cutin,global_art_maximin,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-295fd1fdae4a7a62831c9591,0,[],,9,1
FailureDistance-v2,11,4179803:fbrt_cutin:initial:23,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-dee3c610ce7b9553cc859974,0,[],,10,1
FailureDistance-v2,12,4179803:fbrt_cutin:initial:8,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-95078319cc1f4743d8cc7ea0,0,[],,11,1
FailureDistance-v2,13,4179803:fbrt_cutin:initial:7,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-451f9342f2948000d97a1b7d,0,[],,12,1
FailureDistance-v2,14,4179803:fbrt_cutin:initial:3,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-32e6559a8934bcec86323a0b,0,[],,13,1
FailureDistance-v2,15,4179803:fbrt_cutin:initial:15,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-d0658a47920c269d58a56acf,0,[],,14,1
FailureDistance-v2,16,4179803:fbrt_cutin:initial:27,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-80af79a299fa86edd9e7983d,0,[],,15,1
FailureDistance-v2,17,4179803:fbrt_cutin:initial:11,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-0638dd7320cabe1fd82869f5,0,[],,16,1
FailureDistance-v2,18,4179803:fbrt_cutin:initial:4,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-dc4d8a065150e1d123acca5a,0,[],,17,1
FailureDistance-v2,19,4179803:fbrt_cutin:probe:3,fbrt_cutin,nearest_observed_failure,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-545f7007375d1646df3d4721,0,[],,18,1
FailureDistance-v2,20,4179803:fbrt_stop_hold_go:probe:1,fbrt_stop_hold_go,global_art_maximin,merge_brake2,legacy_regression_seed4179803_merge_brake2:FailureDistance-v2:0,regression,False,False,False,legacy-105ef87edca94e9dda46abd0,0,[],,19,1
