method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179803:fbrt_lead_emergency_brake:wide_initial:1,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-62cff735853430266f7d30e9,0,[],,0,1
Random,2,4179803:fbrt_cutin:initial:28,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-67474352f4a06d540fb8da57,0,[],,1,1
Random,3,4179803:fbrt_cutout_static:initial:17,fbrt_cutout_static,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-ca938d6eca1b47b35a1ed759,0,[],,2,1
Random,4,4179803:fbrt_stop_hold_go:initial:3,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-20491c06354a9a57b053202b,0,[],,3,1
Random,5,4179803:fbrt_stop_hold_go:initial:11,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-6297a64db6276dcac9cd119d,0,[],,4,1
Random,6,4179803:fbrt_cutin:core_boundary:0,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,True,False,True,legacy-99b2b2b1b22e17ccac33511e,0,[],,5,1
Random,7,4179803:fbrt_stop_hold_go:initial:6,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-3ebe2aef6fc718ee5097043e,0,[],,6,1
Random,8,4179803:fbrt_cutin:initial:27,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-80af79a299fa86edd9e7983d,0,[],,7,1
Random,9,4179803:fbrt_cutin:initial:30,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-710ad7c856146e4d38b01dcf,0,[],,8,1
Random,10,4179803:fbrt_stop_hold_go:initial:25,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-d13dfa58aa13ed9abb39ac52,0,[],,9,1
Random,11,4179803:fbrt_stop_hold_go:initial:29,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-8ec05761e4ca930ab5f9fd5c,0,[],,10,1
Random,12,4179803:fbrt_stop_hold_go:initial:26,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-5b74e8c01dc030edcc727db4,0,[],,11,1
Random,13,4179803:fbrt_lead_emergency_brake:core_boundary:2,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-bf35d86bf7681f1f29448432,0,[],,12,1
Random,14,4179803:fbrt_lead_emergency_brake:wide_initial:30,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-0dec0b1dc5e03734c67f8d17,0,[],,13,1
Random,15,4179803:fbrt_cutout_static:initial:1,fbrt_cutout_static,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-e906bd34ec7d971a81ceae16,0,[],,14,1
Random,16,4179803:fbrt_stop_hold_go:initial:23,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-adee3d53a002f49c2ef5fd49,0,[],,15,1
Random,17,4179803:fbrt_stop_hold_go:initial:4,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-2a5215e86aea072889332e58,0,[],,16,1
Random,18,4179803:fbrt_lead_emergency_brake:wide_initial:25,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-be86ec6912a7db833925b8fb,0,[],,17,1
Random,19,4179803:fbrt_cutin:initial:4,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-dc4d8a065150e1d123acca5a,0,[],,18,1
Random,20,4179803:fbrt_stop_hold_go:initial:24,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179803_merge_brake2:Random:0,regression,False,False,False,legacy-d35a3e2e5bf6818bcae32317,0,[],,19,1
