method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FailureDistance-v2,1,4179803:fbrt_stop_hold_go:core_extra:1,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-85f88ec46768974588ced5e2,0,[],,0,1
FailureDistance-v2,2,4179803:fbrt_stop_hold_go:initial:5,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-f4899d3194495c3dce450d78,0,[],,1,1
FailureDistance-v2,3,4179803:fbrt_stop_hold_go:initial:29,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-7998f2359c929a53bcab72b0,0,[],,2,1
FailureDistance-v2,4,4179803:fbrt_stop_hold_go:probe:3,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-3bdce6ccb39661d6967aa096,0,[],,3,1
FailureDistance-v2,5,4179803:fbrt_stop_hold_go:initial:13,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-51b1094df5062195671a113c,0,[],,4,1
FailureDistance-v2,6,4179803:fbrt_stop_hold_go:initial:21,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-53200a6fa1ea1b16791df245,0,[],,5,1
FailureDistance-v2,7,4179803:fbrt_stop_hold_go:initial:25,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-476447aed8c6bf709a248e2d,0,[],,6,1
FailureDistance-v2,8,4179803:fbrt_stop_hold_go:core_extra:3,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-0b9dfed190164ea8e34b13ba,0,[],,7,1
FailureDistance-v2,9,4179803:fbrt_stop_hold_go:initial:9,fbrt_stop_hold_go,nearest_observed_failure,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-abbf6daa329be2baf8d04291,0,[],,8,1
FailureDistance-v2,10,4179803:fbrt_cutout_static:initial:8,fbrt_cutout_static,global_art_maximin,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:FailureDistance-v2:0,regression,True,False,True,legacy-a4a60291883a5e7b9c01070f,0,[],,9,1
