method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179803:fbrt_cutout_static:initial:23,fbrt_cutout_static,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-c01264158af6aa72e9bd1de5,0,[],,0,1
Random,2,4179803:fbrt_cutin:initial:12,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-447579050c146177ee26accd,0,[],,1,1
Random,3,4179803:fbrt_cutin:initial:4,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-792fcafc6b5f3dcff16d97b3,0,[],,2,1
Random,4,4179803:fbrt_stop_hold_go:core_extra:0,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-55bceb4565f354754f1d0d05,0,[],,3,1
Random,5,4179803:fbrt_cutin:initial:21,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-60164fb8985e77d9c0da05de,0,[],,4,1
Random,6,4179803:fbrt_cutin:initial:3,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-b4443eb6962b80fa35fd14c5,0,[],,5,1
Random,7,4179803:fbrt_cutin:initial:22,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-3cc15bd7448ad60b60b2f0c4,0,[],,6,1
Random,8,4179803:fbrt_stop_hold_go:initial:12,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-22fc2de2053be74eca68f173,0,[],,7,1
Random,9,4179803:fbrt_cutout_static:initial:5,fbrt_cutout_static,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-66b04e2a25d8b4d6e9492dfd,0,[],,8,1
Random,10,4179803:fbrt_cutin:initial:24,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-a80cf1c05c59f862a67d9e20,0,[],,9,1
Random,11,4179803:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-76f3174ede3e9fddb9864c05,0,[],,10,1
Random,12,4179803:fbrt_cutin:initial:10,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-3e029b49cd2cbacaf9e75a59,0,[],,11,1
Random,13,4179803:fbrt_stop_hold_go:core_extra:1,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-85f88ec46768974588ced5e2,0,[],,12,1
Random,14,4179803:fbrt_cutin:initial:29,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-6da5e5fbd8ee4b3a03e9042b,0,[],,13,1
Random,15,4179803:fbrt_stop_hold_go:initial:23,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-51acd5157e6bf1e1a13c9d59,0,[],,14,1
Random,16,4179803:fbrt_stop_hold_go:initial:17,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-f40b7ffb4deaca51aaa0f6db,0,[],,15,1
Random,17,4179803:fbrt_cutin:initial:28,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,False,False,False,legacy-15b0f7ffad1474f5e7be65c9,0,[],,16,1
Random,18,4179803:fbrt_cutout_static:initial:21,fbrt_cutout_static,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-12de2eab6e7a99b5684b40ba,0,[],,17,1
Random,19,4179803:fbrt_cutout_static:initial:3,fbrt_cutout_static,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-7d51c5cde44b1782de9f2eac,0,[],,18,1
Random,20,4179803:fbrt_lead_emergency_brake:wide_initial:22,fbrt_lead_emergency_brake,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:1,regression,True,False,True,legacy-d318dda169ec9cb4907dca59,0,[],,19,1
