task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,0,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,0,5,20,104,5,5,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,0,10,20,104,10,10,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,0,20,20,104,20,20,True,13,2,7,0.2857142857142857,0.06428571428571428
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,1,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,1,5,20,104,5,5,True,4,1,7,0.14285714285714285,0.05714285714285714
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,1,10,20,104,10,10,True,4,1,7,0.14285714285714285,0.09999999999999998
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,1,20,20,104,20,20,True,4,1,7,0.14285714285714285,0.12142857142857141
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,2,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,2,5,20,104,5,5,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,2,10,20,104,10,10,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,2,20,20,104,20,20,True,12,1,7,0.14285714285714285,0.06428571428571427
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,3,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,3,5,20,104,5,5,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,3,10,20,104,10,10,True,7,2,7,0.2857142857142857,0.09999999999999999
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,3,20,20,104,20,20,True,7,2,7,0.2857142857142857,0.19285714285714284
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,4,1,20,104,1,1,False,,0,7,0.0,0.0
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,4,5,20,104,5,5,True,5,1,7,0.14285714285714285,0.02857142857142857
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,4,10,20,104,10,10,True,5,1,7,0.14285714285714285,0.0857142857142857
legacy_regression_seed4179801_merge_blind06,merge_blind06,Random,4,20,20,104,20,20,True,5,1,7,0.14285714285714285,0.11428571428571428
