method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
FBRT-NoMemory,1,4179901:S01:space_filling:9,fbrt_cutin,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,False,False,False,new-5f3da247ab354b6037aafe66,1,[],,0,0
FBRT-NoMemory,2,4179901:S02:space_filling:12,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-1e371339cf0230bcf66a56dd,1,[],pat-df83aa51531f6f8e,1,0
FBRT-NoMemory,3,4179901:S02:anchor_like:3,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-6794727c4e6e0d436b1e66fc,1,[],pat-c2945c6b4cf50ca8,2,0
FBRT-NoMemory,4,4179901:S02:space_filling:4,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-ba65fab676f2b63a35022fbc,1,[],pat-eb4a7008cf2a128d,3,0
FBRT-NoMemory,5,4179901:S02:space_filling:8,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-85ebd9069e855b6eb7e3065d,1,[],pat-1d38ddd5f60bcb86,4,0
FBRT-NoMemory,6,4179901:S02:space_filling:6,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-65bc9d3abaa8ddffb87fb986,1,[],pat-0dea74945e130a1e,5,0
FBRT-NoMemory,7,4179901:S02:anchor_like:1,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-18b0ff59e7429b93528a4881,1,[],pat-29f9f9dfc786f317,6,0
FBRT-NoMemory,8,4179901:S02:space_filling:9,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-e25c0132a3b4281493f5a686,1,[],pat-4957485fe9f11dd1,7,0
FBRT-NoMemory,9,4179901:S02:space_filling:14,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,True,False,False,new-19298c9b52d76e0af9d44c0b,1,[],pat-82b33a85fd256e8b,8,0
FBRT-NoMemory,10,4179901:S08:space_filling:10,fbrt_cutin_then_brake,global_art_maximin,ppo_ref_v2,cross_agent_FBRT-NoMemory_ppo_ref_after_mobil,cross_agent,False,False,False,new-fcf9821b4bbe589b4cee8057,1,[],,9,0
