method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
HistoryRank-UCB-v2,1,4179901:S06:space_filling:14,fbrt_moving_lead,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-5b74c53cbf5ca4b31bfa8488,1,[],,0,1,1,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,2,4179901:S05:anchor_like:1,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-29c06bea3b77f61ef62cd56f,1,[],,1,1,1,1.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,3,4179901:S02:space_filling:6,fbrt_cutout_static,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-eb509f0e55ec4127c6a49ac7,1,[],,2,1,1,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,4,4179901:S08:space_filling:10,fbrt_cutin_then_brake,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-e1d5f15804d15d5d0b28e5d2,1,[],,3,1,1,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,5,4179901:S01:space_filling:4,fbrt_cutin,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-6efeed6c33d239b14b022634,1,[],,4,1,1,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,6,4179901:S05:space_filling:12,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-b31a80b3641735aaf882b10d,1,[],,5,1,2,2.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,7,4179901:S05:space_filling:8,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-d9cd39d37757f224eccfdfed,1,[],,6,1,3,3.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,8,4179901:S05:space_filling:4,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-f50a868a6984e064b5213a43,1,[],,7,1,4,4.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,9,4179901:S01:space_filling:12,fbrt_cutin,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-39b095b12cdf959d3021e4ec,1,[],,8,1,2,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,10,4179901:S08:space_filling:13,fbrt_cutin_then_brake,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-288612112438dda6d7f1f545,1,[],,9,1,2,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,11,4179901:S02:space_filling:10,fbrt_cutout_static,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-1ae47ee74aef007de41c5ca9,1,[],,10,1,2,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,12,4179901:S06:space_filling:6,fbrt_moving_lead,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-9c4b9f7a1834c245ee6b7fa8,1,[],,11,1,2,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,13,4179901:S05:space_filling:15,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-0250bdb83e46ff83abf11e1d,1,[],,12,1,5,5.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,14,4179901:S05:space_filling:10,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-e7a946a18102b2dabddd5c1a,1,[],,13,1,6,6.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,15,4179901:S05:space_filling:14,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-223ad8b409679a9a93be5992,1,[],,14,1,7,7.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,16,4179901:S05:space_filling:11,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,True,False,True,True,1,new-a0c970db6dfd1ac82300fac0,1,[],,15,1,8,8.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,17,4179901:S05:space_filling:9,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-cc6207f2452e0497bd55f6aa,1,[],,16,1,9,8.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,18,4179901:S01:space_filling:11,fbrt_cutin,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-319679923f158310cfcb4790,1,[],,17,1,3,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,19,4179901:S02:anchor_like:1,fbrt_cutout_static,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-fdb6f4267524b4cd3fd9d456,1,[],,18,1,3,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
HistoryRank-UCB-v2,20,4179901:S08:space_filling:5,fbrt_cutin_then_brake,history_risk_percentile_ucb,mobil_rear_guard_off_v2,compact_regression_mobil_ref_to_rear_guard_off:HistoryRank-UCB-v2:0,regression,False,False,False,False,0,new-89b3d76a7876350492650b2b,1,[],,19,1,3,0.0,compact_regression_mobil_ref_to_rear_guard_off,0
