method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S08:anchor_like:3,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-2f4c0ea8a41a1097739c5676,1,[],,0,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,2,4179901:S06:space_filling:7,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-78f209f294682a759f2b4b3c,1,[],,1,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,3,4179901:S01:space_filling:6,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-f99fd39d53e35703bd8baf08,1,[],,2,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,4,4179901:S06:space_filling:6,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-e86f9dcfd2a7b91f7a4fb42e,1,[],,3,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,5,4179901:S08:space_filling:13,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-17b21f25fcea58bff60df14b,1,[],,4,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,6,4179901:S05:space_filling:13,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-f3d4693f9bc6f791a4ce1c0f,1,[],,5,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,7,4179901:S01:space_filling:10,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-85244d54fa26548860c11537,1,[],,6,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,8,4179901:S06:space_filling:12,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-1dca7f3aa7f2e3b51e828ae6,1,[],,7,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,9,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-7b24a497e4c81c9cbd73637a,1,[],,8,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,10,4179901:S01:space_filling:11,fbrt_cutin,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-0a7c29cf9106e128d2eb4e51,1,[],,9,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,11,4179901:S05:space_filling:8,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-fe1ab6b4dd31fcc49ff1a311,1,[],,10,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,12,4179901:S06:anchor_like:0,fbrt_moving_lead,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-8394ae696c262660c8234173,1,[],,11,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,13,4179901:S08:space_filling:8,fbrt_cutin_then_brake,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-26deab57f0e65499a054ad8f,1,[],,12,1,,,compact_regression_ppo_ref_to_obs_age020,8
Random,14,4179901:S05:anchor_like:2,fbrt_lane_change_rear,seeded_random_without_replacement,ppo_obs_age020_v2,compact_regression_ppo_ref_to_obs_age020:Random:8,regression,False,False,False,False,0,new-0a488097d89f0f196cb425c7,1,[],,13,1,,,compact_regression_ppo_ref_to_obs_age020,8
