method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FailureDistance-v2,1,4179901:S08:space_filling:6,fbrt_cutin_then_brake,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,False,False,False,,0,new-6059129bb7aaaf7f8045309b,1,[],,0,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,2,4179901:S08:space_filling:10,fbrt_cutin_then_brake,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,False,False,False,,0,new-fcf9821b4bbe589b4cee8057,1,[],,1,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,3,4179901:S06:anchor_like:2,fbrt_moving_lead,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,False,False,False,,0,new-bb3bb1e750a6de9bc0183b8e,1,[],,2,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,4,4179901:S05:space_filling:15,fbrt_lane_change_rear,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,False,False,False,,0,new-d7f0dd47a045a4eecfb21098,1,[],,3,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,5,4179901:S02:space_filling:11,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-81a7e362400cef7473251a6c,1,[],,4,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,6,4179901:S02:anchor_like:2,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-87158a75194c16c3c6785424,1,[],,5,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,7,4179901:S02:space_filling:7,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-cf074d72d64652bdcfced017,1,[],,6,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,8,4179901:S02:space_filling:15,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-0b79f927f61413787a8406ad,1,[],,7,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,9,4179901:S02:space_filling:9,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-e25c0132a3b4281493f5a686,1,[],,8,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,10,4179901:S01:space_filling:14,fbrt_cutin,global_art_maximin,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,False,False,False,,0,new-c4ed100a60471f29dd0ab1aa,1,[],,9,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,11,4179901:S02:space_filling:14,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-19298c9b52d76e0af9d44c0b,1,[],,10,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,12,4179901:S02:space_filling:13,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-7de60b619fd684828953eadc,1,[],,11,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,13,4179901:S02:anchor_like:0,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-fcae38c2b8dc00d521f7617f,1,[],,12,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,14,4179901:S02:space_filling:5,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-64d17b38c980bdc4023649f9,1,[],,13,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,15,4179901:S02:space_filling:10,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-8dacaeec18c7c804d0707808,1,[],,14,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,16,4179901:S02:anchor_like:1,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-18b0ff59e7429b93528a4881,1,[],,15,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
FailureDistance-v2,17,4179901:S02:space_filling:6,fbrt_cutout_static,nearest_observed_failure,ppo_ref_v2,cross_agent_FailureDistance-v2_ppo_ref_after_mobil:FailureDistance-v2:0,cross_agent,True,False,True,,1,new-65bc9d3abaa8ddffb87fb986,1,[],,16,1,,,cross_agent_FailureDistance-v2_ppo_ref_after_mobil,0
