method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
HistoryRank-UCB-v2,1,4179901:S02:anchor_like:0,fbrt_cutout_static,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-377035d9cac7083f0542c4f7,1,[],,0,0,1,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,2,4179901:S06:space_filling:7,fbrt_moving_lead,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-4a32f6d494c8db5ec90c0f77,1,[],,1,0,1,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,3,4179901:S01:anchor_like:2,fbrt_cutin,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-54af71d3c73ce835ed50f848,1,[],,2,0,1,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,4,4179901:S08:anchor_like:2,fbrt_cutin_then_brake,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-020685aef97eba54164fa39d,1,[],,3,0,1,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,5,4179901:S05:anchor_like:2,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-9dbc5ad146eafebdfb2e44a6,1,[],,4,0,1,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,6,4179901:S02:space_filling:15,fbrt_cutout_static,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-198fafaac03cfc355c0c4292,1,[],,5,0,2,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,7,4179901:S06:space_filling:6,fbrt_moving_lead,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-7dbd9568e8847b7354735959,1,[],,6,0,2,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,8,4179901:S08:space_filling:14,fbrt_cutin_then_brake,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-3b8b098f1899a24e59411a54,1,[],,7,0,2,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,9,4179901:S05:space_filling:14,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-f98417a7d5bc4c0cc03d07db,1,[],,8,0,2,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,10,4179901:S01:anchor_like:0,fbrt_cutin,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-4f0067aa8b72da3020e2604f,1,[],,9,0,2,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
HistoryRank-UCB-v2,11,4179901:S05:space_filling:6,fbrt_lane_change_rear,history_risk_percentile_ucb,mobil_ref_v2,cross_agent_HistoryRank-UCB-v2_mobil_to_next:HistoryRank-UCB-v2:0,cross_agent,False,False,False,,0,new-32695f768fc787bb350a7e4b,1,[],,10,0,3,0.0,cross_agent_HistoryRank-UCB-v2_mobil_to_next,0
