method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S06:space_filling:5,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-86c8e600e258da0223b63cde,1,[],,0,0,,,cross_agent_Random_mobil_to_next,2
Random,2,4179901:S05:space_filling:9,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-442c211d229479a193bc5120,1,[],,1,0,,,cross_agent_Random_mobil_to_next,2
Random,3,4179901:S02:space_filling:15,fbrt_cutout_static,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-198fafaac03cfc355c0c4292,1,[],,2,0,,,cross_agent_Random_mobil_to_next,2
Random,4,4179901:S01:space_filling:15,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-3a6f225f198dfde2668a936b,1,[],,3,0,,,cross_agent_Random_mobil_to_next,2
Random,5,4179901:S06:space_filling:12,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-bae14dfceddec41c6bceabac,1,[],,4,0,,,cross_agent_Random_mobil_to_next,2
Random,6,4179901:S01:space_filling:8,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-279fc8407f8ac40d8cf09995,1,[],,5,0,,,cross_agent_Random_mobil_to_next,2
Random,7,4179901:S08:space_filling:4,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-aa4687df1ab620035ebba764,1,[],,6,0,,,cross_agent_Random_mobil_to_next,2
Random,8,4179901:S05:space_filling:8,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-99c262830f3b0047d175b19a,1,[],,7,0,,,cross_agent_Random_mobil_to_next,2
Random,9,4179901:S01:space_filling:6,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-b86221f25a45a1f5d5b04da2,1,[],,8,0,,,cross_agent_Random_mobil_to_next,2
Random,10,4179901:S08:space_filling:9,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-11e03c71cea7f6e80f516406,1,[],,9,0,,,cross_agent_Random_mobil_to_next,2
Random,11,4179901:S01:space_filling:4,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-f051f4d95fe986aff3b3b763,1,[],,10,0,,,cross_agent_Random_mobil_to_next,2
Random,12,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-6aa0a4514cc79999db8175f7,1,[],,11,0,,,cross_agent_Random_mobil_to_next,2
Random,13,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-533bb7de907b1d88dedaa882,1,[],,12,0,,,cross_agent_Random_mobil_to_next,2
Random,14,4179901:S01:space_filling:10,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-cff21d594213f7fba221aeaf,1,[],,13,0,,,cross_agent_Random_mobil_to_next,2
Random,15,4179901:S05:space_filling:10,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-081c56c4c310e4e88c536912,1,[],,14,0,,,cross_agent_Random_mobil_to_next,2
Random,16,4179901:S01:space_filling:13,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-cb2c3ff31b9e58a2b0b45772,1,[],,15,0,,,cross_agent_Random_mobil_to_next,2
Random,17,4179901:S05:space_filling:15,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:2,cross_agent,False,False,False,,0,new-2477f38770889f57533ff45f,1,[],,16,0,,,cross_agent_Random_mobil_to_next,2
