method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179801:fbrt_stop_hold_go:initial:21,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-649a0cc3e1a98f5bc30a9a89,0,[],,0,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,2,4179801:fbrt_lead_emergency_brake:core_boundary:3,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-ea5b57366f5622add0d74b2c,0,[],,1,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,3,4179801:fbrt_cutout_static:initial:26,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-d4c91dab1d85af0bcf8908b6,0,[],,2,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,4,4179801:fbrt_cutin:initial:25,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-151b34a3cfcb8ea63a06b9e6,0,[],,3,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,5,4179801:fbrt_lead_emergency_brake:wide_initial:26,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-11ceb5a7cfcbd09dc2ec53d6,0,[],,4,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,6,4179801:fbrt_stop_hold_go:initial:23,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-cb9c16a65cbecbce7fd90109,0,[],,5,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,7,4179801:fbrt_stop_hold_go:initial:9,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-f94f4fe11e04b36cac63c6d6,0,[],,6,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,8,4179801:fbrt_cutin:initial:31,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-02dd1e091ca486f11b487eed,0,[],,7,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,9,4179801:fbrt_stop_hold_go:initial:10,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-083f5d0071372da9142c3a70,0,[],,8,1,,,legacy_regression_seed4179801_merge_blind06,2
Random,10,4179801:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:2,regression,False,False,False,False,0,legacy-8b4efe65b024e01e717b32e8,0,[],,9,1,,,legacy_regression_seed4179801_merge_blind06,2
