method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FBRT-Memory,1,4179801:fbrt_cutin:probe:3,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-f3157d1d403834e63db0d9f2,0,"[""pat-863a5089b1cbc526"", ""pat-cea3ac2ea680748b""]",pat-5e6dd1d2fead454d,0,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,2,4179801:fbrt_cutin:initial:5,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-313069f5a404e0e172be3e88,0,"[""pat-60c3608f404f9741""]",pat-000e33b6d3b0bc2f,1,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,3,4179801:fbrt_cutin:core_boundary:2,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-573e1d118f812552ffe7ab78,0,"[""pat-a7e894cd976190e1""]",pat-b2ada61e9d626425,2,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,4,4179801:fbrt_cutin:initial:29,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-563e2878cb064e5589a70fd3,0,"[""pat-cea3ac2ea680748b""]",,3,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,5,4179801:fbrt_lead_emergency_brake:wide_initial:26,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-19735893b1adf40b62971590,0,"[""pat-86fd380a15162be5"", ""pat-c1e4898c794a2ddd"", ""pat-3d40656f5fc5565c""]",,4,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,6,4179801:fbrt_cutin:initial:26,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-c57a937ffbec210400c72631,0,"[""pat-0f2b4302d7e55c91""]",pat-25404e533049bf53,5,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,7,4179801:fbrt_cutin:initial:2,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-f7cc4c617991c96de67d21a8,0,"[""pat-0f2b4302d7e55c91""]",,6,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,8,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-7bd243ba6e38e35087a71f7d,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-b5c30a51966bd8a7""]",,7,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,9,4179801:fbrt_cutin:initial:13,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-0fc897ba8abdf7b97e5b84b2,0,"[""pat-a7e894cd976190e1""]",,8,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,10,4179801:fbrt_stop_hold_go:initial:22,fbrt_stop_hold_go,global_art_maximin,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-cad05b8bd3a8360e7242032a,0,[],,9,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,11,4179801:fbrt_cutin:probe:2,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-81b8b7c1f73684e70cdfc4cf,0,[],,10,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,12,4179801:fbrt_cutout_static:initial:17,fbrt_cutout_static,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-7fa826737099bdb63f640d6c,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941""]",,11,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,13,4179801:fbrt_cutin:initial:9,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-d77b5e05417a8a46f2915f2a,0,"[""pat-863a5089b1cbc526"", ""pat-cea3ac2ea680748b""]",,12,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,14,4179801:fbrt_cutin:initial:18,fbrt_cutin,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-f8c6b187433102ced3196f05,0,[],,13,1,,,legacy_regression_seed4179801_merge_brake2,0
FBRT-Memory,15,4179801:fbrt_lead_emergency_brake:wide_initial:17,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_brake2,legacy_regression_seed4179801_merge_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-da7c9b53153b87e09b6a7661,0,"[""pat-86fd380a15162be5""]",,14,1,,,legacy_regression_seed4179801_merge_brake2,0
