method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FBRT-Memory,1,4179801:fbrt_cutout_static:initial:17,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-1081f882e3c5bff12d9ac3f3,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941""]",pat-d9212d46a025a7a4,0,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,2,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-e5ac27d6b9e10d5aee4757e3,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-b5c30a51966bd8a7""]",pat-0cfd4aacefd425c3,1,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,3,4179801:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-ecf2ae5ea73e83091604f31d,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-b5c30a51966bd8a7""]",pat-0fbfaceeb1621d68,2,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,4,4179801:fbrt_cutout_static:initial:9,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-6c0478f68dea37f99ad2fff8,0,"[""pat-7c8ea4b77ab80188""]",pat-57e6f07fb31f286e,3,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,5,4179801:fbrt_cutout_static:initial:26,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-ba4cdd0b812a0cb5a3de697a,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-57e6f07fb31f286e""]",pat-6d15fe46aced158a,4,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,6,4179801:fbrt_cutout_static:initial:16,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-a758b9a475e04bee3ce0167f,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-b5c30a51966bd8a7"", ""pat-6d15fe46aced158a""]",pat-904a2b4b9b2cf207,5,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,7,4179801:fbrt_cutout_static:initial:28,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-8c0ef09d604510f339588dc8,0,"[""pat-95fd3b87bf9b3941""]",pat-03dc1b172ff7134c,6,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,8,4179801:fbrt_cutout_static:initial:14,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-b774d148fc0a76ca2a87ae3e,0,"[""pat-7c8ea4b77ab80188"", ""pat-57e6f07fb31f286e"", ""pat-6d15fe46aced158a""]",pat-1f6c95c017dd2873,7,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,9,4179801:fbrt_cutout_static:initial:2,fbrt_cutout_static,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,True,False,True,True,1,legacy-0fff3bba9433ba3f18664a40,0,"[""pat-7c8ea4b77ab80188"", ""pat-95fd3b87bf9b3941"", ""pat-6d15fe46aced158a"", ""pat-03dc1b172ff7134c""]",pat-f6f8c0efd5a86c0e,8,1,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-Memory,10,4179801:fbrt_cutin:initial:27,fbrt_cutin,global_art_maximin,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-Memory:0,regression,False,False,False,False,0,legacy-2ebc1612308eed953218a713,0,[],,9,1,,,legacy_regression_seed4179801_slow_front_brake2,0
