method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FBRT-NoMemory,1,4179801:fbrt_cutin:initial:24,fbrt_cutin,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,False,False,False,False,0,legacy-04b4aad764f4e4ee17d0f162,0,[],,0,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,2,4179801:fbrt_stop_hold_go:initial:14,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-5d3c5873b9552dbb03d486cf,0,[],pat-070238e9db44240c,1,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,3,4179801:fbrt_stop_hold_go:initial:22,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-8d7af5289df3368417b66565,0,[],pat-18895dac38664eac,2,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,4,4179801:fbrt_stop_hold_go:initial:26,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-0dc63b10414b6a026de8c36e,0,[],pat-4533337f17fa02ed,3,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,5,4179801:fbrt_stop_hold_go:initial:10,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-fbb571be96a1d9a09a464920,0,[],pat-9a0b6bcfdfa2091a,4,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,6,4179801:fbrt_stop_hold_go:initial:2,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-1e694ff420c9c649dfbf7bdc,0,[],pat-c61a669c492d6c07,5,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,7,4179801:fbrt_stop_hold_go:initial:4,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-ae00e6b1bfd2de03e16434eb,0,[],pat-49eb3421b85e6079,6,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,8,4179801:fbrt_stop_hold_go:initial:18,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-2f6f0cc63c95a3e3b715a79c,0,[],pat-d91c594e4db76ca5,7,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,9,4179801:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,posterior_mean_failure_probability,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-0133535ad55a738ab3d348ef,0,[],pat-8e8cc23cc2787037,8,0,,,legacy_regression_seed4179801_slow_front_brake2,0
FBRT-NoMemory,10,4179801:fbrt_cutout_static:initial:12,fbrt_cutout_static,global_art_maximin,slow_front_brake2,legacy_regression_seed4179801_slow_front_brake2:FBRT-NoMemory:0,regression,True,False,True,True,1,legacy-a2391d2632d3115557a71093,0,[],pat-8ddcc9bbe17b4ff6,9,0,,,legacy_regression_seed4179801_slow_front_brake2,0
