method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FBRT-Memory,1,4179802:fbrt_lead_emergency_brake:wide_initial:5,fbrt_lead_emergency_brake,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,False,0,legacy-366dd6e0e20773ccfe2772ed,0,"[""pat-04f375d1aacd0fd9"", ""pat-1605b3dcb776b585""]",,0,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,2,4179802:fbrt_cutout_static:core_boundary:0,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,True,False,True,True,1,legacy-d5a460cea7f8e01c9508c6b6,0,"[""pat-3aef2b4360560012"", ""pat-54d29d702c9f5d6a""]",pat-94e6f051fe290e31,1,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,3,4179802:fbrt_cutout_static:initial:8,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,False,0,legacy-bb94f59ff566279551826724,0,"[""pat-3aef2b4360560012""]",,2,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,4,4179802:fbrt_cutout_static:initial:14,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,True,False,True,True,1,legacy-128f0829ef22631aa0eb2c52,0,"[""pat-54d29d702c9f5d6a""]",pat-41f4bf9eecebbb8b,3,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,5,4179802:fbrt_cutout_static:initial:4,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,True,False,True,True,1,legacy-b9a535db5930368cc8fca33a,0,"[""pat-54d29d702c9f5d6a"", ""pat-41f4bf9eecebbb8b""]",pat-19636a2ee6c0acde,4,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,6,4179802:fbrt_cutout_static:initial:1,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,False,0,legacy-7753dec92fb3996f15896858,0,"[""pat-54d29d702c9f5d6a"", ""pat-41f4bf9eecebbb8b""]",,5,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,7,4179802:fbrt_cutout_static:core_boundary:2,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,True,False,True,True,1,legacy-023cfa31a9bff36585f332a5,0,"[""pat-54d29d702c9f5d6a"", ""pat-41f4bf9eecebbb8b""]",pat-0306cf8b5fbd7706,6,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,8,4179802:fbrt_cutout_static:initial:21,fbrt_cutout_static,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,False,0,legacy-ff000af6e05a25d59eace042,0,"[""pat-54d29d702c9f5d6a"", ""pat-0306cf8b5fbd7706""]",,7,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,9,4179802:fbrt_cutin:core_boundary:3,fbrt_cutin,posterior_mean_failure_probability,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,True,False,True,True,1,legacy-d2946c7e26be23ebc3a7638f,0,"[""pat-1d8b7f0a3201196f""]",pat-747da63889fa154b,8,1,,,legacy_regression_seed4179802_merge_blind06,0
FBRT-Memory,10,4179802:fbrt_stop_hold_go:initial:2,fbrt_stop_hold_go,global_art_maximin,merge_blind06,legacy_regression_seed4179802_merge_blind06:FBRT-Memory:0,regression,False,False,False,False,0,legacy-27ebf5075a3a43bf39c656d1,0,[],,9,1,,,legacy_regression_seed4179802_merge_blind06,0
