method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179802:fbrt_cutout_static:probe:3,fbrt_cutout_static,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-f981e5767a3690cd4df3298f,0,[],,0,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,2,4179802:fbrt_cutin:initial:21,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-89d12e18f137070ba893ab29,0,[],,1,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,3,4179802:fbrt_cutin:probe:2,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-26057954784c314dc45a2943,0,[],,2,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,4,4179802:fbrt_cutin:initial:0,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-391496849e750cbcec2583c6,0,[],,3,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,5,4179802:fbrt_cutin:initial:6,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-f616a0c794d80a4631a72873,0,[],,4,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,6,4179802:fbrt_cutout_static:initial:11,fbrt_cutout_static,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-9a7f12c9a1bac5b2d9070e18,0,[],,5,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,7,4179802:fbrt_cutin:initial:3,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,True,False,True,True,1,legacy-d823aeb84bf0a8e70adccd95,0,[],,6,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,8,4179802:fbrt_cutin:initial:7,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-a84d1a5362866bc1ba00e7a3,0,[],,7,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,9,4179802:fbrt_cutin:initial:29,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-baf2fe427fa1ab20bc26a854,0,[],,8,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,10,4179802:fbrt_stop_hold_go:initial:23,fbrt_stop_hold_go,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-eb0bc6815f8d5d9645ed5afb,0,[],,9,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,11,4179802:fbrt_cutout_static:initial:7,fbrt_cutout_static,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-88ac2d5d9b26c52638de29b1,0,[],,10,1,,,legacy_regression_seed4179802_merge_brake2,8
Random,12,4179802:fbrt_cutin:core_boundary:2,fbrt_cutin,seeded_random_without_replacement,merge_brake2,legacy_regression_seed4179802_merge_brake2:Random:8,regression,False,False,False,False,0,legacy-7e04c8b6ce032168808b78d2,0,[],,11,1,,,legacy_regression_seed4179802_merge_brake2,8
