method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179803:fbrt_stop_hold_go:initial:4,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-478788bbf5a6e8cc42ecdb63,0,[],,0,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,2,4179803:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-e0f268b81326d3c0dde14614,0,[],,1,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,3,4179803:fbrt_stop_hold_go:initial:1,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-f6ec2c62d210df109608d654,0,[],,2,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,4,4179803:fbrt_cutin:initial:3,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,False,False,False,False,0,legacy-b4443eb6962b80fa35fd14c5,0,[],,3,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,5,4179803:fbrt_cutin:initial:1,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,False,False,False,False,0,legacy-87c66698dba765f0d1f73935,0,[],,4,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,6,4179803:fbrt_stop_hold_go:initial:21,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-53200a6fa1ea1b16791df245,0,[],,5,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,7,4179803:fbrt_cutin:initial:24,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,False,False,False,False,0,legacy-a80cf1c05c59f862a67d9e20,0,[],,6,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,8,4179803:fbrt_cutin:initial:20,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,False,False,False,False,0,legacy-d6f9ba795e25d295c8fad0fb,0,[],,7,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,9,4179803:fbrt_stop_hold_go:initial:28,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-db050fb991e3d19afc127ab5,0,[],,8,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,10,4179803:fbrt_stop_hold_go:initial:16,fbrt_stop_hold_go,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,True,False,True,True,1,legacy-c1e6095f2eb1017d8254bad1,0,[],,9,1,,,legacy_regression_seed4179803_slow_front_brake2,6
Random,11,4179803:fbrt_cutin:initial:11,fbrt_cutin,seeded_random_without_replacement,slow_front_brake2,legacy_regression_seed4179803_slow_front_brake2:Random:6,regression,False,False,False,False,0,legacy-854b7570253657abcf104f1a,0,[],,10,1,,,legacy_regression_seed4179803_slow_front_brake2,6
