seed,patch_id,template_id,failed_id,passed_id,failed,passed,width,boundary_estimate
4179801,fbrt_cutin:patch:0,fbrt_cutin,4179801:fbrt_cutin:core_boundary:0,4179801:fbrt_cutin:probe:3,"[0.07769764535129069, 0.7459072922356427]","[0.11999999999999998, 0.75]",0.042499876066520566,"[0.09884882267564533, 0.7479536461178213]"
4179801,fbrt_cutin:patch:1,fbrt_cutin,4179801:fbrt_cutin:initial:21,4179801:fbrt_cutin:probe:3,"[0.035395290702581406, 0.7418145844712853]","[0.11999999999999998, 0.75]",0.08499975213304112,"[0.0776976453512907, 0.7459072922356427]"
4179801,fbrt_cutin:patch:2,fbrt_cutin,4179801:fbrt_cutin:core_boundary:3,4179801:fbrt_cutin:initial:26,"[0.04670694004744291, 0.07396255480125546]","[0.09341388009488583, 0.14792510960251096]",0.08747569811852975,"[0.07006041007116437, 0.11094383220188321]"
4179801,fbrt_cutin:patch:3,fbrt_cutin,4179801:fbrt_cutin:core_boundary:1,4179801:fbrt_cutin:initial:5,"[0.027027903823181987, 0.9770732643082738]","[0.10811161529272795, 0.9082930572330952]",0.10632631448038173,"[0.06756975955795497, 0.9426831607706845]"
4179801,fbrt_cutin:patch:4,fbrt_cutin,4179801:fbrt_cutin:initial:10,4179801:fbrt_cutin:core_boundary:2,"[0.02068145666271448, 0.44036870077252377]","[0.13265148946084082, 0.4942701098043471]",0.12426845995838773,"[0.07666647306177765, 0.4673194052884354]"
4179801,fbrt_cutin:patch:5,fbrt_cutin,4179801:fbrt_cutin:probe:1,4179801:fbrt_cutin:initial:5,"[0.0, 1.0]","[0.10811161529272795, 0.9082930572330952]",0.14176841930717562,"[0.054055807646363974, 0.9541465286165476]"
4179801,fbrt_cutin:patch:6,fbrt_cutin,4179801:fbrt_cutin:probe:0,4179801:fbrt_cutin:initial:26,"[0.0, 0.0]","[0.09341388009488583, 0.14792510960251096]",0.17495139623705946,"[0.04670694004744291, 0.07396255480125548]"
4179801,fbrt_lead_emergency_brake:patch:0,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:core_boundary:2,4179801:fbrt_lead_emergency_brake:wide_initial:26,"[0.5933088753372431, 0.15495739015750587]","[0.6056432770565152, 0.1073365630581975]",0.04919228231536534,"[0.5994760761968791, 0.13114697660785168]"
4179801,fbrt_lead_emergency_brake:patch:1,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:core_boundary:0,4179801:fbrt_lead_emergency_brake:wide_initial:30,"[0.7305202162824571, 0.3575294320471585]","[0.801900896243751, 0.33179423213005066]",0.07587820495050061,"[0.7662105562631041, 0.34466183208860457]"
4179801,fbrt_lead_emergency_brake:patch:2,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:wide_initial:1,4179801:fbrt_lead_emergency_brake:core_boundary:3,"[0.7541433172300458, 0.660080386325717]","[0.8298980188556015, 0.5934320134110749]",0.1008998534713811,"[0.7920206680428237, 0.6267561998683959]"
4179801,fbrt_lead_emergency_brake:patch:3,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:core_boundary:1,4179801:fbrt_lead_emergency_brake:wide_initial:26,"[0.4809348594862968, 0.05908556468784809]","[0.6056432770565152, 0.1073365630581975]",0.13371741942096935,"[0.543289068271406, 0.0832110638730228]"
4179801,fbrt_lead_emergency_brake:patch:4,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:wide_initial:18,4179801:fbrt_lead_emergency_brake:wide_initial:30,"[0.6591395363211632, 0.3832646319642663]","[0.801900896243751, 0.33179423213005066]",0.15175640990100123,"[0.7305202162824571, 0.3575294320471585]"
4179801,fbrt_lead_emergency_brake:patch:5,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:wide_initial:16,4179801:fbrt_lead_emergency_brake:wide_initial:26,"[0.4393653869628906, 0.04300189856439829]","[0.6056432770565152, 0.1073365630581975]",0.17828989256129246,"[0.5225043320097029, 0.0751692308112979]"
4179801,fbrt_lead_emergency_brake:patch:6,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:wide_initial:13,4179801:fbrt_lead_emergency_brake:core_boundary:3,"[0.6444659065455198, 0.6175356646999717]","[0.8298980188556015, 0.5934320134110749]",0.18699212358074202,"[0.7371819627005607, 0.6054838390555233]"
4179801,fbrt_lead_emergency_brake:patch:7,fbrt_lead_emergency_brake,4179801:fbrt_lead_emergency_brake:wide_initial:10,4179801:fbrt_lead_emergency_brake:wide_initial:26,"[0.5563056701794267, 0.297819871455431]","[0.6056432770565152, 0.1073365630581975]",0.19676912926146137,"[0.5809744736179709, 0.20257821725681424]"
4179801,fbrt_cutout_static:patch:0,fbrt_cutout_static,4179801:fbrt_cutout_static:core_boundary:2,4179801:fbrt_cutout_static:initial:23,"[0.35492134373635054, 0.4464796071406454]","[0.3220989564433694, 0.47903217375278473]",0.04622746695037724,"[0.33851015008985996, 0.46275589044671506]"
4179801,fbrt_cutout_static:patch:1,fbrt_cutout_static,4179801:fbrt_cutout_static:core_boundary:0,4179801:fbrt_cutout_static:initial:23,"[0.27152870455756783, 0.4513637889176607]","[0.3220989564433694, 0.47903217375278473]",0.057644513140262844,"[0.2968138305004686, 0.4651979813352227]"
4179801,fbrt_cutout_static:patch:2,fbrt_cutout_static,4179801:fbrt_cutout_static:initial:29,4179801:fbrt_cutout_static:core_boundary:3,"[0.5253460891544819, 0.4020151738077402]","[0.5044072368182242, 0.49524668138474226]",0.09555390908926853,"[0.514876662986353, 0.44863092759624124]"
4179801,fbrt_cutout_static:patch:3,fbrt_cutout_static,4179801:fbrt_cutout_static:initial:3,4179801:fbrt_cutout_static:initial:23,"[0.22095845267176628, 0.4236954040825367]","[0.3220989564433694, 0.47903217375278473]",0.11528902628052569,"[0.27152870455756783, 0.4513637889176607]"
4179801,fbrt_cutout_static:patch:4,fbrt_cutout_static,4179801:fbrt_cutout_static:core_boundary:1,4179801:fbrt_cutout_static:initial:17,"[0.667269577505067, 0.28409091010689735]","[0.7929217526689172, 0.32741345558315516]",0.13291091779816028,"[0.7300956650869921, 0.30575218284502625]"
4179801,fbrt_cutout_static:patch:5,fbrt_cutout_static,4179801:fbrt_cutout_static:initial:15,4179801:fbrt_cutout_static:core_boundary:3,"[0.453388505615294, 0.34882190730422735]","[0.5044072368182242, 0.49524668138474226]",0.1550584580024149,"[0.4788978712167591, 0.4220342943444848]"
4179801,fbrt_cutout_static:patch:6,fbrt_cutout_static,4179801:fbrt_cutout_static:initial:5,4179801:fbrt_cutout_static:initial:17,"[0.6253855191171169, 0.2696500616148114]","[0.7929217526689172, 0.32741345558315516]",0.17721455706421368,"[0.709153635893017, 0.2985317585989833]"
4179801,fbrt_cutout_static:patch:7,fbrt_cutout_static,4179801:fbrt_cutout_static:initial:4,4179801:fbrt_cutout_static:initial:28,"[0.06691348180174828, 0.501710332930088]","[0.21590297296643257, 0.6391244297847152]",0.20268325656522393,"[0.14140822738409042, 0.5704173813574016]"
4179802,fbrt_cutin:patch:0,fbrt_cutin,4179802:fbrt_cutin:initial:19,4179802:fbrt_cutin:core_boundary:0,"[0.049467758275568485, 0.5884255459532142]","[0.08473387913778423, 0.6692127729766072]",0.0881491652302939,"[0.06710081870667636, 0.6288191594649106]"
4179802,fbrt_cutin:patch:1,fbrt_cutin,4179802:fbrt_cutin:probe:1,4179802:fbrt_cutin:core_boundary:3,"[0.0, 1.0]","[0.12328926287591457, 0.9682981758378445]",0.1272998350183322,"[0.06164463143795729, 0.9841490879189223]"
4179802,fbrt_cutin:patch:2,fbrt_cutin,4179802:fbrt_cutin:core_boundary:1,4179802:fbrt_cutin:initial:28,"[0.023786645382642746, 0.37296090158633893]","[0.0842055631801486, 0.24194300919771192]",0.1442779739037793,"[0.053996104281395674, 0.3074519553920254]"
4179802,fbrt_cutin:patch:3,fbrt_cutin,4179802:fbrt_cutin:probe:0,4179802:fbrt_cutin:core_boundary:2,"[0.0, 0.0]","[0.15043459413573146, 0.05804121284745635]",0.16124313784340089,"[0.07521729706786573, 0.029020606423728175]"
4179802,fbrt_cutin:patch:4,fbrt_cutin,4179802:fbrt_cutin:initial:12,4179802:fbrt_cutin:initial:28,"[0.003647006116807461, 0.41663353238254786]","[0.0842055631801486, 0.24194300919771192]",0.19237063187170567,"[0.04392628464847803, 0.3292882707901299]"
4179802,fbrt_lead_emergency_brake:patch:0,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:core_boundary:0,4179802:fbrt_lead_emergency_brake:wide_initial:5,"[0.5875780591741204, 0.11215170426294208]","[0.6297770868986845, 0.052311294712126255]",0.0732231695306062,"[0.6086775730364025, 0.08223149948753417]"
4179802,fbrt_lead_emergency_brake:patch:1,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:21,4179802:fbrt_lead_emergency_brake:core_boundary:3,"[0.730916396714747, 0.3433268256485462]","[0.8015384534373879, 0.2977059790864587]",0.08407577853803945,"[0.7662274250760674, 0.32051640236750245]"
4179802,fbrt_lead_emergency_brake:patch:2,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:core_boundary:1,4179802:fbrt_lead_emergency_brake:wide_initial:30,"[0.7366748852655292, 0.6874614809639752]","[0.8431462002918124, 0.6440182263031602]",0.11499329240851605,"[0.7899105427786708, 0.6657398536335677]"
4179802,fbrt_lead_emergency_brake:patch:3,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:14,4179802:fbrt_lead_emergency_brake:core_boundary:2,"[0.8046289421617985, 0.9936276264488697]","[0.8789313579909503, 0.902431407244876]",0.11763332603965197,"[0.8417801500763744, 0.9480295168468729]"
4179802,fbrt_lead_emergency_brake:patch:4,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:29,4179802:fbrt_lead_emergency_brake:wide_initial:5,"[0.5453790314495564, 0.1719921138137579]","[0.6297770868986845, 0.052311294712126255]",0.1464463390612124,"[0.5875780591741204, 0.11215170426294208]"
4179802,fbrt_lead_emergency_brake:patch:5,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:10,4179802:fbrt_lead_emergency_brake:wide_initial:30,"[0.7011844469234347, 0.7019425658509135]","[0.8431462002918124, 0.6440182263031602]",0.1533243898780214,"[0.7721653236076236, 0.6729803960770369]"
4179802,fbrt_lead_emergency_brake:patch:6,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:27,4179802:fbrt_lead_emergency_brake:wide_initial:5,"[0.4406732078641653, 0.01573045179247856]","[0.6297770868986845, 0.052311294712126255]",0.19260954061160626,"[0.5352251473814249, 0.03402087325230241]"
4179802,fbrt_lead_emergency_brake:patch:7,fbrt_lead_emergency_brake,4179802:fbrt_lead_emergency_brake:wide_initial:26,4179802:fbrt_lead_emergency_brake:core_boundary:2,"[0.662667665630579, 0.910927040502429]","[0.8789313579909503, 0.902431407244876]",0.21643049789202118,"[0.7707995118107647, 0.9066792238736525]"
4179802,fbrt_cutout_static:patch:0,fbrt_cutout_static,4179802:fbrt_cutout_static:initial:28,4179802:fbrt_cutout_static:core_boundary:0,"[0.7060382980853319, 0.2960607698187232]","[0.6597256092354655, 0.3650306477211416]",0.08307652620553556,"[0.6828819536603987, 0.3305457087699324]"
4179802,fbrt_cutout_static:patch:1,fbrt_cutout_static,4179802:fbrt_cutout_static:core_boundary:3,4179802:fbrt_cutout_static:initial:14,"[0.41754477843642235, 0.38884771009907126]","[0.49479824025183916, 0.4451224124059081]",0.09557687734064747,"[0.45617150934413075, 0.4169850612524897]"
