scope,coverage,heterogeneity,method,reference,budget,mean_recall_difference,hierarchical_bootstrap_low,hierarchical_bootstrap_high,wins,ties,losses,seed_target_units
overall,all,all,Posterior Search (adaptive support),Random,10,0.06893097589180854,0.06433864641051149,0.0735563753213921,90,0,0,90
overall,all,all,Posterior Search (adaptive support),Random,20,0.1374441645650973,0.12830356588163255,0.14631925126039483,90,0,0,90
overall,all,all,Posterior Search (adaptive support),Random,30,0.2057757298798027,0.1918309120659175,0.21932718804726092,90,0,0,90
overall,all,all,Posterior Search (adaptive support),Random,50,0.3426721670658426,0.3201959068967938,0.3647903930408962,90,0,0,90
overall,all,all,Posterior Search (adaptive support),DETOUR,10,0.0154395803778033,0.012059968482086823,0.018748455902682325,74,16,0,90
overall,all,all,Posterior Search (adaptive support),DETOUR,20,0.02879141731744898,0.0221740511108188,0.035654535854780726,78,12,0,90
overall,all,all,Posterior Search (adaptive support),DETOUR,30,0.05661395288759708,0.04716876216945029,0.06803667588245794,84,6,0,90
overall,all,all,Posterior Search (adaptive support),DETOUR,50,0.11965128017445566,0.10033033017126003,0.14353717260446344,87,3,0,90
overall,all,all,Posterior Search (adaptive support),DIVA,10,0.06430830760853161,0.056110031926904405,0.0722798809577526,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA,20,0.0642941537399419,0.05613553257390975,0.07250752933521437,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA,30,0.06436835495004575,0.05628959159072674,0.07233203119555724,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA,50,0.06547396756907128,0.05739751736255593,0.0736242270798268,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA-DETOUR,10,0.06382871350290546,0.055861754806962254,0.07182767939605608,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA-DETOUR,20,0.06374597252869162,0.055719654611690865,0.0716285580692812,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA-DETOUR,30,0.0636693441762012,0.05559391451730528,0.0718079509012343,85,5,0,90
overall,all,all,Posterior Search (adaptive support),DIVA-DETOUR,50,0.06488066925844034,0.05667816267337335,0.07314709236651523,85,5,0,90
overall,all,all,Posterior Search (adaptive support),AdaTE Global,10,0.00019334495062650397,0.0,0.000602439631565845,2,88,0,90
overall,all,all,Posterior Search (adaptive support),AdaTE Global,20,0.0005741635296276903,-0.0002489129219399814,0.0016839619819795806,6,82,2,90
overall,all,all,Posterior Search (adaptive support),AdaTE Global,30,0.004707999242214234,0.0020903060783420283,0.007973913142728245,22,67,1,90
