pseudo_target_sut,noise_scale,mean_checkpoint_recall,target_data_used,selected_noise_scale,seed
Source-Atlas,0.05,0.21653543307086615,False,0.3,20261103
Source-Atlas,0.15,0.21653543307086615,False,0.3,20261103
Source-Atlas,0.3,0.21653543307086615,False,0.3,20261103
Source-Boreal,0.05,0.2037037037037037,False,0.3,20261103
Source-Boreal,0.15,0.2037037037037037,False,0.3,20261103
Source-Boreal,0.3,0.2037037037037037,False,0.3,20261103
Source-Cascade,0.05,0.18835616438356162,False,0.3,20261103
Source-Cascade,0.15,0.18835616438356162,False,0.3,20261103
Source-Cascade,0.3,0.18835616438356162,False,0.3,20261103
Source-Delta,0.05,0.1608187134502924,False,0.3,20261103
Source-Delta,0.15,0.1608187134502924,False,0.3,20261103
Source-Delta,0.3,0.1608187134502924,False,0.3,20261103
Source-Estuary,0.05,0.14627659574468085,False,0.3,20261103
Source-Estuary,0.15,0.14627659574468085,False,0.3,20261103
Source-Estuary,0.3,0.14627659574468085,False,0.3,20261103
Source-Fjord,0.05,0.15714285714285714,False,0.3,20261103
Source-Fjord,0.15,0.15714285714285714,False,0.3,20261103
Source-Fjord,0.3,0.15714285714285714,False,0.3,20261103
Source-Atlas,0.05,0.2217741935483871,False,0.3,20261117
Source-Atlas,0.15,0.2217741935483871,False,0.3,20261117
Source-Atlas,0.3,0.2217741935483871,False,0.3,20261117
Source-Boreal,0.05,0.19927536231884058,False,0.3,20261117
Source-Boreal,0.15,0.19927536231884058,False,0.3,20261117
Source-Boreal,0.3,0.19927536231884058,False,0.3,20261117
Source-Cascade,0.05,0.18333333333333335,False,0.3,20261117
Source-Cascade,0.15,0.18333333333333335,False,0.3,20261117
Source-Cascade,0.3,0.18333333333333335,False,0.3,20261117
Source-Delta,0.05,0.16467065868263472,False,0.3,20261117
Source-Delta,0.15,0.16467065868263472,False,0.3,20261117
Source-Delta,0.3,0.16467065868263472,False,0.3,20261117
Source-Estuary,0.05,0.1455026455026455,False,0.3,20261117
Source-Estuary,0.15,0.1455026455026455,False,0.3,20261117
Source-Estuary,0.3,0.1455026455026455,False,0.3,20261117
Source-Fjord,0.05,0.15804597701149425,False,0.3,20261117
Source-Fjord,0.15,0.15804597701149425,False,0.3,20261117
Source-Fjord,0.3,0.15804597701149425,False,0.3,20261117
Source-Atlas,0.05,0.22540983606557377,False,0.3,20261201
Source-Atlas,0.15,0.22540983606557377,False,0.3,20261201
Source-Atlas,0.3,0.22540983606557377,False,0.3,20261201
Source-Boreal,0.05,0.20676691729323307,False,0.3,20261201
Source-Boreal,0.15,0.20676691729323307,False,0.3,20261201
Source-Boreal,0.3,0.20676691729323307,False,0.3,20261201
Source-Cascade,0.05,0.1858108108108108,False,0.3,20261201
Source-Cascade,0.15,0.1858108108108108,False,0.3,20261201
Source-Cascade,0.3,0.1858108108108108,False,0.3,20261201
Source-Delta,0.05,0.16666666666666669,False,0.3,20261201
Source-Delta,0.15,0.16666666666666669,False,0.3,20261201
Source-Delta,0.3,0.16666666666666669,False,0.3,20261201
Source-Estuary,0.05,0.14705882352941177,False,0.3,20261201
Source-Estuary,0.15,0.14705882352941177,False,0.3,20261201
Source-Estuary,0.3,0.14705882352941177,False,0.3,20261201
Source-Fjord,0.05,0.15895953757225434,False,0.3,20261201
Source-Fjord,0.15,0.15895953757225434,False,0.3,20261201
Source-Fjord,0.3,0.15895953757225434,False,0.3,20261201
Source-Atlas,0.05,0.21653543307086615,False,0.3,20261213
Source-Atlas,0.15,0.21653543307086615,False,0.3,20261213
Source-Atlas,0.3,0.21653543307086615,False,0.3,20261213
Source-Boreal,0.05,0.2052238805970149,False,0.3,20261213
Source-Boreal,0.15,0.2052238805970149,False,0.3,20261213
Source-Boreal,0.3,0.2052238805970149,False,0.3,20261213
Source-Cascade,0.05,0.18835616438356162,False,0.3,20261213
Source-Cascade,0.15,0.18835616438356162,False,0.3,20261213
Source-Cascade,0.3,0.18835616438356162,False,0.3,20261213
Source-Delta,0.05,0.16272189349112426,False,0.3,20261213
Source-Delta,0.15,0.16272189349112426,False,0.3,20261213
Source-Delta,0.3,0.16272189349112426,False,0.3,20261213
Source-Estuary,0.05,0.14784946236559138,False,0.3,20261213
Source-Estuary,0.15,0.14784946236559138,False,0.3,20261213
Source-Estuary,0.3,0.14784946236559138,False,0.3,20261213
Source-Fjord,0.05,0.15804597701149425,False,0.3,20261213
Source-Fjord,0.15,0.15804597701149425,False,0.3,20261213
Source-Fjord,0.3,0.15804597701149425,False,0.3,20261213
Source-Atlas,0.05,0.2217741935483871,False,0.3,20261229
Source-Atlas,0.15,0.2217741935483871,False,0.3,20261229
Source-Atlas,0.3,0.2217741935483871,False,0.3,20261229
Source-Boreal,0.05,0.20992366412213742,False,0.3,20261229
Source-Boreal,0.15,0.20992366412213742,False,0.3,20261229
Source-Boreal,0.3,0.20992366412213742,False,0.3,20261229
Source-Cascade,0.05,0.1858108108108108,False,0.3,20261229
Source-Cascade,0.15,0.1858108108108108,False,0.3,20261229
Source-Cascade,0.3,0.1858108108108108,False,0.3,20261229
Source-Delta,0.05,0.16467065868263472,False,0.3,20261229
Source-Delta,0.15,0.16467065868263472,False,0.3,20261229
Source-Delta,0.3,0.16467065868263472,False,0.3,20261229
Source-Estuary,0.05,0.14945652173913043,False,0.3,20261229
Source-Estuary,0.15,0.14945652173913043,False,0.3,20261229
Source-Estuary,0.3,0.14945652173913043,False,0.3,20261229
Source-Fjord,0.05,0.15625,False,0.3,20261229
Source-Fjord,0.15,0.15625,False,0.3,20261229
Source-Fjord,0.3,0.15625,False,0.3,20261229
