sut_name,coverage,heterogeneity,replicate,fast_intrusion,cutin_braking,lead_braking,stop_and_go,slow_lead_following,passing_cutin
Source-Atlas,source,mixed,0,SUT-B,SUT-B,SUT-B,SUT-C,SUT-F,SUT-B
Source-Boreal,source,mixed,0,SUT-B,SUT-C,SUT-F,SUT-B,SUT-C,SUT-C
Source-Cascade,source,mixed,0,SUT-C,SUT-F,SUT-B,SUT-C,SUT-B,SUT-F
Source-Delta,source,mixed,0,SUT-C,SUT-B,SUT-C,SUT-F,SUT-F,SUT-B
Source-Estuary,source,mixed,0,SUT-F,SUT-C,SUT-F,SUT-F,SUT-B,SUT-C
Source-Fjord,source,mixed,0,SUT-F,SUT-F,SUT-C,SUT-B,SUT-C,SUT-F
Target-exact-global-1,exact,global,1,SUT-B,SUT-B,SUT-B,SUT-B,SUT-B,SUT-B
Target-exact-global-2,exact,global,2,SUT-F,SUT-F,SUT-F,SUT-F,SUT-F,SUT-F
Target-exact-partial-1,exact,partial,1,SUT-B,SUT-B,SUT-B,SUT-C,SUT-C,SUT-C
Target-exact-partial-2,exact,partial,2,SUT-F,SUT-F,SUT-C,SUT-C,SUT-C,SUT-F
Target-exact-full-1,exact,full,1,SUT-B,SUT-C,SUT-F,SUT-C,SUT-B,SUT-F
Target-exact-full-2,exact,full,2,SUT-F,SUT-B,SUT-C,SUT-B,SUT-F,SUT-C
Target-interpolated-global-1,interpolated,global,1,Interpolated-global-1-fast_intrusion,Interpolated-global-1-cutin_braking,Interpolated-global-1-lead_braking,Interpolated-global-1-stop_and_go,Interpolated-global-1-slow_lead_following,Interpolated-global-1-passing_cutin
Target-interpolated-global-2,interpolated,global,2,Interpolated-global-2-fast_intrusion,Interpolated-global-2-cutin_braking,Interpolated-global-2-lead_braking,Interpolated-global-2-stop_and_go,Interpolated-global-2-slow_lead_following,Interpolated-global-2-passing_cutin
Target-interpolated-partial-1,interpolated,partial,1,Interpolated-partial-1-fast_intrusion,Interpolated-partial-1-cutin_braking,Interpolated-partial-1-lead_braking,Interpolated-partial-1-stop_and_go,Interpolated-partial-1-slow_lead_following,Interpolated-partial-1-passing_cutin
Target-interpolated-partial-2,interpolated,partial,2,Interpolated-partial-2-fast_intrusion,Interpolated-partial-2-cutin_braking,Interpolated-partial-2-lead_braking,Interpolated-partial-2-stop_and_go,Interpolated-partial-2-slow_lead_following,Interpolated-partial-2-passing_cutin
Target-interpolated-full-1,interpolated,full,1,Interpolated-full-1-fast_intrusion,Interpolated-full-1-cutin_braking,Interpolated-full-1-lead_braking,Interpolated-full-1-stop_and_go,Interpolated-full-1-slow_lead_following,Interpolated-full-1-passing_cutin
Target-interpolated-full-2,interpolated,full,2,Interpolated-full-2-fast_intrusion,Interpolated-full-2-cutin_braking,Interpolated-full-2-lead_braking,Interpolated-full-2-stop_and_go,Interpolated-full-2-slow_lead_following,Interpolated-full-2-passing_cutin
Target-unseen-global-1,unseen,global,1,AV-Calibrated-IDM,AV-Calibrated-IDM,AV-Calibrated-IDM,AV-Calibrated-IDM,AV-Calibrated-IDM,AV-Calibrated-IDM
Target-unseen-global-2,unseen,global,2,SUT-E,SUT-E,SUT-E,SUT-E,SUT-E,SUT-E
Target-unseen-partial-1,unseen,partial,1,SUT-A,SUT-A,SUT-A,SUT-D,SUT-D,SUT-D
Target-unseen-partial-2,unseen,partial,2,SM-Limited-FVDM,SM-Limited-FVDM,AV-Predictive-Brake,AV-Predictive-Brake,AV-Predictive-Brake,AV-Predictive-Brake
Target-unseen-full-1,unseen,full,1,SUT-A,SUT-D,SUT-E,SM-Normal-IDM,SM-Limited-FVDM,AV-Predictive-Brake
Target-unseen-full-2,unseen,full,2,AV-Calibrated-IDM,SM-Strong-FVDM,SUT-D,SUT-A,AV-Predictive-Brake,SUT-E
