#{"t_start": 1784401852.393125, "env_id": "None"}
r,l,t
10.221038,5,0.205559
20.934941,76,1.644194
12.911003,72,2.913265
10.292717,6,3.330721
16.14871,23,3.983878
10.465054,9,4.452195
16.528653,21,5.068462
12.616856,48,6.015632
20.962584,172,8.585493
11.305081,14,9.119449
21.485755,71,10.336564
17.545844,60,11.427563
13.181478,75,12.907151
10.322364,7,13.332775
21.408734,187,16.152856
10.421002,9,16.694128
20.099892,75,18.730741
-0.199147,124,20.580313
16.489093,21,21.442694
10.374776,8,21.884447
10.228752,5,22.290907
12.32883,17,22.864788
16.253224,23,23.532527
11.873847,35,24.323673
12.14586,42,25.22216
10.225948,5,25.640962
16.882228,22,26.270553
10.460414,9,26.741578
14.22467,15,27.278443
10.430487,9,27.732181
19.614372,84,29.214953
16.544553,116,30.950969
15.865884,22,31.56397
10.228862,5,32.016314
11.990966,38,33.028422
-0.132488,120,34.90221
16.080573,21,35.511963
10.230726,5,35.921593
15.362253,40,36.906746
10.378306,8,37.354133
10.383505,8,37.482532
10.461015,9,37.939671
11.700154,33,38.729678
10.240876,5,39.152022
11.881766,36,39.952521
14.938354,22,40.591615
-0.116007,123,42.597753
21.970813,84,44.043278
10.295992,6,44.477233
10.311368,7,44.922121
14.10479,15,45.476678
12.34602,43,46.347194
13.630312,86,47.77161
8.900206,500,54.22611
11.10397,15,54.767747
-0.983589,46,55.704949
12.274552,42,56.541139
22.787481,500,62.736822
32.076685,379,67.869304
16.158354,23,68.514396
19.157567,89,69.966284
10.036532,376,75.029938
10.327343,7,75.493908
11.867595,42,76.402469
15.047088,18,76.99953
13.457374,14,77.549704
36.582474,405,83.238488
10.333385,7,84.037964
21.959097,125,86.088272
0.079485,140,88.332319
11.684389,43,89.262764
15.231754,22,89.927371
